Daily discharge values from Rijkswaterstaat data 
Date 	Discharge 	
[yyyy-mm-dd] 	[m3/s] 	
2022-02-01 	  72.35694 	
2022-02-02 	 207.23623 	
2022-02-03 	 564.80894 	
2022-02-04 	 192.33459 	
2022-02-05 	 209.10035 	
2022-02-06 	   0.00000 	
2022-02-07 	 341.31382 	
2022-02-08 	 609.61213 	
2022-02-09 	 438.36449 	
2022-02-10 	 599.20792 	
2022-02-11 	 474.03134 	
2022-02-12 	1029.47213 	
2022-02-13 	 308.41560 	
2022-02-14 	 329.14049 	
2022-02-15 	 419.74190 	
2022-02-16 	 331.83891 	
2022-02-17 	   0.00000 	
2022-02-18 	 372.51326 	
2022-02-19 	 228.57525 	
2022-02-20 	 641.91051 	
2022-02-21 	   0.00000 	
2022-02-22 	 907.45417 	
2022-02-23 	 844.68630 	
2022-02-24 	 391.15764 	
2022-02-25 	 425.22875 	
2022-02-26 	1518.29852 	
2022-02-27 	1294.18759 	
2022-02-28 	1128.66528 	
2022-03-01 	 651.95412 	
2022-03-02 	 871.60815 	
2022-03-03 	 959.37926 	
2022-03-04 	 847.80963 	
2022-03-05 	 741.45551 	
2022-03-06 	 730.92032 	
2022-03-07 	 495.45134 	
2022-03-08 	  26.98078 	
2022-03-09 	  55.53943 	
2022-03-10 	  54.50708 	
2022-03-11 	  35.53640 	
2022-03-12 	  25.22866 	
2022-03-13 	  19.45104 	
2022-03-14 	  15.88579 	
2022-03-15 	   0.00000 	
2022-03-16 	  23.59068 	
2022-03-17 	  38.14259 	
2022-03-18 	  12.23950 	
2022-03-19 	  17.02669 	
2022-03-20 	  18.90975 	
2022-03-21 	  12.42628 	
2022-03-22 	  10.31333 	
2022-03-23 	   0.00000 	
2022-03-24 	   0.00000 	
2022-03-25 	   0.00000 	
2022-03-26 	 323.03062 	
2022-03-27 	   0.00000 	
2022-03-28 	   0.00000 	
2022-03-29 	   0.00000 	
2022-03-30 	   0.00000 	
2022-03-31 	  48.43073 	
2022-04-01 	 551.71787 	
2022-04-02 	 742.48523 	
2022-04-03 	  15.79425 	
2022-04-04 	  91.62986 	
2022-04-05 	 459.00537 	
2022-04-06 	 384.85398 	
2022-04-07 	   7.21741 	
2022-04-08 	 237.16336 	
2022-04-09 	 100.43735 	
2022-04-10 	 740.38449 	
2022-04-11 	 887.55685 	
2022-04-12 	 714.99903 	
2022-04-13 	 517.47773 	
2022-04-14 	 439.90167 	
2022-04-15 	 352.59509 	
2022-04-16 	 508.02606 	
2022-04-17 	 228.74611 	
2022-04-18 	 209.35868 	
2022-04-19 	 164.35122 	
2022-04-20 	 163.53610 	
2022-04-21 	 190.55510 	
2022-04-22 	 158.51317 	
2022-04-23 	  33.61046 	
2022-04-24 	  12.10781 	
2022-04-25 	  10.42192 	
2022-04-26 	   7.42025 	
2022-04-27 	 113.93814 	
2022-04-28 	 221.40363 	
2022-04-29 	  18.68536 	
2022-04-30 	 171.46375 	
2022-05-01 	  90.62806 	
2022-05-02 	 225.21123 	
2022-05-03 	   0.00000 	
2022-05-04 	  90.91034 	
2022-05-05 	   3.02125 	
2022-05-06 	   7.79021 	
2022-05-07 	   0.00000 	
2022-05-08 	   0.00000 	
2022-05-09 	   0.00000 	
2022-05-10 	   0.00000 	
2022-05-11 	 112.18479 	
2022-05-12 	   0.00000 	
