Daily discharge values from Rijkswaterstaat data 
Date 	Discharge 	
[yyyy-mm-dd] 	[m3/s] 	
2022-02-01 	 127.88137 	
2022-02-02 	 187.38490 	
2022-02-03 	 492.11250 	
2022-02-04 	 187.22271 	
2022-02-05 	 226.22167 	
2022-02-06 	   0.00000 	
2022-02-07 	 285.11287 	
2022-02-08 	 516.25148 	
2022-02-09 	 475.84208 	
2022-02-10 	 491.58153 	
2022-02-11 	 308.80292 	
2022-02-12 	 861.81676 	
2022-02-13 	 371.74037 	
2022-02-14 	 354.70245 	
2022-02-15 	 408.24056 	
2022-02-16 	 343.53917 	
2022-02-17 	   0.00000 	
2022-02-18 	 502.50273 	
2022-02-19 	 204.85479 	
2022-02-20 	 671.39032 	
2022-02-21 	   0.00000 	
2022-02-22 	 758.32005 	
2022-02-23 	 716.47056 	
2022-02-24 	 373.74826 	
2022-02-25 	 395.85681 	
2022-02-26 	1081.54778 	
2022-02-27 	 972.90176 	
2022-02-28 	 883.42120 	
2022-03-01 	 577.47130 	
2022-03-02 	 716.83269 	
2022-03-03 	 769.92801 	
2022-03-04 	 658.78917 	
2022-03-05 	 584.30662 	
2022-03-06 	 582.19130 	
2022-03-07 	 385.71442 	
2022-03-08 	  27.93976 	
2022-03-09 	  24.22947 	
2022-03-10 	  21.72192 	
2022-03-11 	  30.92992 	
2022-03-12 	  22.97803 	
2022-03-13 	 174.23174 	
2022-03-14 	  16.15344 	
2022-03-15 	   0.00000 	
2022-03-16 	  12.49194 	
2022-03-17 	   7.95151 	
2022-03-18 	  12.09092 	
2022-03-19 	  17.75889 	
2022-03-20 	  18.33414 	
2022-03-21 	   0.00000 	
2022-03-22 	   0.00000 	
2022-03-23 	 359.13701 	
2022-03-24 	 339.44079 	
2022-03-25 	   0.00000 	
2022-03-26 	   0.00000 	
2022-03-27 	   0.00000 	
2022-03-28 	   0.00000 	
2022-03-29 	  38.81271 	
2022-03-30 	 321.72167 	
2022-03-31 	   0.00000 	
2022-04-01 	 263.69417 	
2022-04-02 	 641.92310 	
2022-04-03 	 195.50287 	
2022-04-04 	 157.33972 	
2022-04-05 	 258.86234 	
2022-04-06 	 252.79808 	
2022-04-07 	 131.89331 	
2022-04-08 	 193.19722 	
2022-04-09 	 110.86736 	
2022-04-10 	 599.99676 	
2022-04-11 	 634.44667 	
2022-04-12 	 605.04750 	
2022-04-13 	 509.27306 	
2022-04-14 	 435.60546 	
2022-04-15 	 495.54324 	
2022-04-16 	 465.25264 	
2022-04-17 	 462.92699 	
2022-04-18 	 218.18056 	
2022-04-19 	 167.12605 	
2022-04-20 	 211.26331 	
2022-04-21 	 215.57787 	
2022-04-22 	 242.05572 	
2022-04-23 	 261.02303 	
2022-04-24 	 222.99593 	
2022-04-25 	   8.06922 	
2022-04-26 	   8.84592 	
2022-04-27 	  64.55979 	
2022-04-28 	 297.35565 	
2022-04-29 	  13.00219 	
2022-04-30 	 231.09155 	
2022-05-01 	  12.01997 	
2022-05-02 	  11.20792 	
2022-05-03 	 177.86657 	
2022-05-04 	   0.00000 	
2022-05-05 	   0.00000 	
2022-05-06 	   0.00000 	
