Annual discharge values from the EMORID database (based on OSPAR RID data) 
Year 	Discharge 	
[yyyy-mm-dd] 	[m3/a] 	
  2001 	19079279998.87680 	
  2002 	19856000000.62080 	
  2003 	12519865000.39680 	
  2004 	15136618812.50880 	
  2005 	14700010001.15520 	
  2006 	20909491200.34560 	
  2007 	18196271999.91360 	
  2008 	15186071999.63520 	
  2009 	13178690000.75520 	
  2010 	17049150000.00000 	
  2011 	14929960000.34880 	
  2012 	14970863999.57760 	
  2013 	17899964999.88480 	
  2014 	14183461999.49760 	
  2015 	15083956249.08480 	
  2016 	14199661853.22240 	
  2017 	14722013115.47520 	
  2018 	11603988749.98080 	
  2019 	13218110000.06400 	
  2020 	14393261520.17279 	
  2021 	17176900000.08960 	
  2022 	10874131200.08640 	
  2023 	14794180000.15680 	
  2024 	15502725845.68320 	
