Annual discharge values from the EMORID database (based on OSPAR RID data) 
Year 	Discharge 	
[yyyy-mm-dd] 	[m3/s] 	
  2001 	47695115749.73759 	
  2002 	47678125000.78081 	
  2003 	32715515750.34240 	
  2004 	40649217575.93280 	
  2005 	39425128249.96800 	
  2006 	41795053920.77759 	
  2007 	46968966719.82720 	
  2008 	38759509799.30881 	
  2009 	42332280250.26239 	
  2010 	46508883999.86879 	
  2011 	40759549999.31520 	
  2012 	40871219999.84641 	
  2013 	45859421249.59681 	
  2014 	38721572500.29120 	
  2015 	37524938249.77921 	
  2016 	39624448320.00000 	
  2017 	37050566399.56799 	
  2018 	35540141249.77921 	
  2019 	37816208250.16321 	
  2020 	35204112000.43200 	
  2021 	42704999999.79840 	
  2022 	33405177599.56800 	
  2023 	33040165000.63680 	
  2024 	40717391143.33440 	
