Daily discharge values from Rijkswaterstaat data 
Date 	Discharge 	
[yyyy-mm-dd] 	[m3/s] 	
2022-02-01 	2248.00000 	
2022-02-02 	1711.00000 	
2022-02-03 	1604.00000 	
2022-02-04 	 427.00000 	
2022-02-05 	1967.00000 	
2022-02-06 	-207.00000 	
2022-02-07 	2355.00000 	
2022-02-08 	1720.00000 	
2022-02-09 	1743.00000 	
2022-02-10 	2491.00000 	
2022-02-11 	2232.00000 	
2022-02-12 	2502.00000 	
2022-02-13 	1197.00000 	
2022-02-14 	1138.00000 	
2022-02-15 	1556.00000 	
2022-02-16 	 626.00000 	
2022-02-17 	 758.00000 	
2022-02-18 	1167.00000 	
2022-02-19 	1837.00000 	
2022-02-20 	2354.00000 	
2022-02-21 	 -78.00000 	
2022-02-22 	2955.00000 	
2022-02-23 	1799.00000 	
2022-02-24 	  60.00000 	
2022-02-25 	1961.00000 	
2022-02-26 	2744.00000 	
2022-02-27 	2341.00000 	
2022-02-28 	2104.00000 	
2022-03-01 	1127.00000 	
2022-03-02 	1747.00000 	
2022-03-03 	1557.00000 	
2022-03-04 	1295.00000 	
2022-03-05 	1144.00000 	
2022-03-06 	1739.00000 	
2022-03-07 	1334.00000 	
2022-03-08 	1518.00000 	
2022-03-09 	 882.00000 	
2022-03-10 	1274.00000 	
2022-03-11 	1280.00000 	
2022-03-12 	1336.00000 	
2022-03-13 	1415.00000 	
2022-03-14 	1408.00000 	
2022-03-15 	1621.00000 	
2022-03-16 	1046.00000 	
2022-03-17 	 993.00000 	
2022-03-18 	1433.00000 	
2022-03-19 	1614.00000 	
2022-03-20 	1094.00000 	
2022-03-21 	 892.00000 	
2022-03-22 	1118.00000 	
2022-03-23 	1089.00000 	
2022-03-24 	 929.00000 	
2022-03-25 	1062.00000 	
2022-03-26 	1244.00000 	
2022-03-27 	1315.00000 	
2022-03-28 	1130.00000 	
2022-03-29 	 918.00000 	
2022-03-30 	 829.00000 	
2022-03-31 	 597.00000 	
2022-04-01 	1171.00000 	
2022-04-02 	1008.00000 	
2022-04-03 	 824.00000 	
2022-04-04 	  72.00000 	
2022-04-05 	1325.00000 	
2022-04-06 	 946.00000 	
2022-04-07 	-434.00000 	
2022-04-08 	1685.00000 	
2022-04-09 	1313.00000 	
2022-04-10 	2206.00000 	
2022-04-11 	1992.00000 	
2022-04-12 	1779.00000 	
2022-04-13 	1580.00000 	
2022-04-14 	1194.00000 	
2022-04-15 	1401.00000 	
2022-04-16 	1549.00000 	
2022-04-17 	1328.00000 	
2022-04-18 	1083.00000 	
2022-04-19 	 757.00000 	
2022-04-20 	1433.00000 	
2022-04-21 	1153.00000 	
2022-04-22 	1159.00000 	
2022-04-23 	1086.00000 	
2022-04-24 	1090.00000 	
2022-04-25 	1381.00000 	
2022-04-26 	1437.00000 	
2022-04-27 	1519.00000 	
2022-04-28 	1401.00000 	
2022-04-29 	1132.00000 	
2022-04-30 	1223.00000 	
2022-05-01 	1178.00000 	
2022-05-02 	1024.00000 	
2022-05-03 	1163.00000 	
2022-05-04 	1192.00000 	
2022-05-05 	1034.00000 	
2022-05-06 	1047.00000 	
2022-05-07 	 976.00000 	
