NIOZ jetty LON=4.789E   LAT=53.002N , depth of sensors -1.5 meter NAP.
Intervals of 60 minutes 
TM = YYYYMMDDHHmm (YYYY=year, MM=month, DD=day, HH=hour, mm=minute) in UTC
ET = excel decimal time 
T = median value of temperature from centered intervals (e.g. value at 10:00 is median from 9:30-10:30)
T_std = standard deviation of temperature within the interval 
T_N = number of data points for temperature within the interval 
T_max = maximum temperature within the interval 
T_min = minimum temperature within the interval 
T_flag = quality flag 
S = median value of salinity from centered intervals (e.g. value at 10:00 is median from 9:30-10:30)
S_std = standard deviation of salinity within the interval 
S_N = number of data points for salinity within the interval 
S_max = maximum salinity within the interval 
S_min = minimum salinity within the interval 
S_flag = quality flag 
Temperature in [degrees Celsius], Salinity in [PSU] 
Quality flags:  1=OK, 2=corrected values (OK), 3=manual discard, 4=variability discard, 5=outlier discard, 8=cleaning period, 9=missing (value indicates ranking) 

TM;ET;T;T_std;T_N;T_max;T_min;T_flag;S;S_std;S_N;S_max;S_min;S_flag 
201601010100; 42370.04166667;  8.887;  0.040;    297;  8.934;  8.793;    1; 30.909;  0.120;    297; 31.174; 30.622;    1 
201601010200; 42370.08333333;  8.887;  0.033;    297;  8.934;  8.746;    1; 30.975;  0.058;    297; 31.097; 30.633;    1 
201601010300; 42370.12500000;  8.840;  0.047;    296;  8.887;  8.652;    1; 30.865;  0.089;    296; 31.019; 30.567;    1 
201601010400; 42370.16666667;  8.511;  0.109;    297;  8.746;  8.276;    1; 30.080;  0.140;    297; 30.611; 29.857;    1 
201601010500; 42370.20833333;  8.276;  0.049;    297;  8.370;  8.088;    1; 29.840;  0.084;    297; 30.040; 29.494;    1 
201601010600; 42370.25000000;  8.088;  0.092;    297;  8.370;  7.901;    1; 29.431;  0.178;    297; 29.815; 28.977;    1 
201601010700; 42370.29166667;  8.464;  0.048;    297;  8.511;  8.323;    1; 28.935;  0.095;    297; 29.245; 28.773;    1 
201601010800; 42370.33333333;  8.511;  0.042;    297;  8.605;  8.417;    1; 29.195;  0.143;    297; 29.357; 28.773;    1 
201601010900; 42370.37500000;  8.605;  0.064;    296;  8.699;  8.464;    1; 29.847;  0.348;    296; 30.080; 29.195;    1 
201601011000; 42370.41666667;  8.652;  0.018;    297;  8.699;  8.605;    1; 30.113;  0.049;    297; 30.191; 29.881;    1 
201601011100; 42370.45833333;  8.746;  0.038;    297;  8.746;  8.652;    1; 30.412;  0.232;    297; 30.799; 30.070;    1 
201601011200; 42370.50000000;  8.746;  0.023;    297;  8.793;  8.746;    1; 30.755;  0.096;    297; 30.877; 30.490;    1 
201601011300; 42370.54166667;  8.793;  0.024;    297;  8.840;  8.746;    1; 30.909;  0.037;    297; 30.954; 30.832;    1 
201601011400; 42370.58333333;  8.793;  0.030;    296;  8.840;  8.746;    1; 30.755;  0.091;    296; 30.909; 30.523;    1 
201601011500; 42370.62500000;  8.558;  0.088;    297;  8.793;  8.464;    1; 29.384;  0.456;    297; 30.567; 29.195;    1 
201601011600; 42370.66666667;  8.511;  0.030;    297;  8.558;  8.417;    1; 29.280;  0.059;    297; 29.435; 29.195;    1 
201601011700; 42370.70833333;  8.370;  0.070;    297;  8.511;  8.229;    1; 28.286;  0.641;    297; 29.443; 27.589;    1 
201601011800; 42370.75000000;  8.229;  0.030;    297;  8.276;  8.182;    1; 27.435;  0.076;    297; 27.667; 27.321;    1 
201601011900; 42370.79166667;  8.229;  0.022;    265;  8.276;  8.182;    1; 27.515;  0.127;    265; 27.903; 27.321;    1 
201601012000; 42370.83333333;  8.276;  0.022;    297;  8.323;  8.182;    1; 27.744;  0.117;    297; 27.939; 27.398;    1 
201601012100; 42370.87500000;  8.370;  0.056;    297;  8.417;  8.182;    1; 28.435;  0.302;    297; 28.745; 27.744;    1 
201601012200; 42370.91666667;  8.323;  0.043;    297;  8.464;  8.229;    1; 28.435;  0.203;    297; 29.132; 28.244;    1 
201601012300; 42370.95833333;  8.511;  0.039;    297;  8.558;  8.370;    1; 29.702;  0.265;    297; 29.934; 29.012;    1 
201601020000; 42371.00000000;  8.558;  0.033;    296;  8.652;  8.464;    1; 29.925;  0.118;    296; 30.278; 29.624;    1 
201601020100; 42371.04166667;  8.558;  0.034;    107;  8.652;  8.464;    1; 30.012;  0.064;    107; 30.201; 29.925;    1 
201601020200; 42371.08333333;    NaN;    NaN;    NaN;    NaN;    NaN;    9;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
201601020300; 42371.12500000;    NaN;    NaN;    NaN;    NaN;    NaN;    9;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
201601020400; 42371.16666667;    NaN;    NaN;    NaN;    NaN;    NaN;    9;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
201601020500; 42371.20833333;    NaN;    NaN;    NaN;    NaN;    NaN;    9;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
201601020600; 42371.25000000;    NaN;    NaN;    NaN;    NaN;    NaN;    9;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
201601020700; 42371.29166667;    NaN;    NaN;    NaN;    NaN;    NaN;    9;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
201601020800; 42371.33333333;    NaN;    NaN;    NaN;    NaN;    NaN;    9;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
201601020900; 42371.37500000;    NaN;    NaN;    NaN;    NaN;    NaN;    9;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
201601021000; 42371.41666667;  8.041;  0.048;    247;  8.088;  7.901;    1; 27.985;  0.157;    247; 28.145; 27.485;    1 
201601021100; 42371.45833333;  7.994;  0.018;    297;  8.041;  7.947;    1; 27.989;  0.107;    297; 28.415; 27.911;    1 
201601021200; 42371.50000000;  8.135;  0.034;    297;  8.182;  7.994;    1; 28.799;  0.107;    297; 28.991; 28.374;    1 
201601021300; 42371.54166667;  7.994;  0.040;    297;  8.135;  7.947;    1; 28.457;  0.088;    297; 28.763; 28.301;    1 
201601021400; 42371.58333333;  7.901;  0.032;    297;  7.947;  7.807;    1; 28.343;  0.058;    297; 28.504; 28.264;    1 
201601021500; 42371.62500000;  7.901;  0.065;    296;  7.994;  7.760;    1; 28.306;  0.220;    296; 28.691; 27.919;    1 
201601021600; 42371.66666667;  7.760;  0.043;    100;  7.807;  7.619;    1; 27.882;  0.202;    100; 28.002; 27.337;    1 
201601021700; 42371.70833333;    NaN;    NaN;    NaN;    NaN;    NaN;    9;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
201601021800; 42371.75000000;  7.105;  0.022;     88;  7.105;  7.058;    1; 26.002;  0.028;     88; 26.041; 25.923;    1 
201601021900; 42371.79166667;  7.105;  0.032;    297;  7.198;  7.011;    1; 26.002;  0.103;    297; 26.437; 25.883;    1 
201601022000; 42371.83333333;  7.245;  0.026;    297;  7.292;  7.151;    1; 26.201;  0.087;    297; 26.437; 26.043;    1 
201601022100; 42371.87500000;  7.338;  0.033;    296;  7.432;  7.245;    1; 26.477;  0.101;    296; 26.713; 26.202;    1 
201601022200; 42371.91666667;  7.666;  0.117;    297;  7.760;  7.385;    1; 27.572;  0.331;    297; 27.845; 26.595;    1 
201601022300; 42371.95833333;  7.807;  0.024;    297;  7.854;  7.713;    1; 27.919;  0.066;    297; 28.039; 27.647;    1 
201601030000; 42372.00000000;  7.807;  0.039;    297;  7.854;  7.666;    1; 27.997;  0.054;    297; 28.076; 27.766;    1 
201601030100; 42372.04166667;  7.760;  0.033;    297;  7.807;  7.666;    1; 27.960;  0.064;    297; 28.117; 27.804;    1 
201601030200; 42372.08333333;  7.573;  0.074;    297;  7.760;  7.432;    1; 27.732;  0.145;    297; 28.209; 27.575;    1 
201601030300; 42372.12500000;  7.807;  0.114;    296;  7.947;  7.479;    1; 28.975;  0.315;    296; 29.247; 27.653;    1 
201601030400; 42372.16666667;  7.526;  0.080;    297;  7.760;  7.338;    1; 28.246;  0.203;    297; 28.788; 27.776;    1 
201601030500; 42372.20833333;  7.105;  0.161;    297;  7.432;  6.778;    1; 27.111;  0.399;    297; 27.976; 26.396;    1 
201601030600; 42372.25000000;  6.778;  0.041;    297;  6.824;  6.684;    1; 26.276;  0.108;    297; 26.595; 26.156;    1 
201601030700; 42372.29166667;  6.684;  0.024;    297;  6.731;  6.684;    1; 26.076;  0.067;    297; 26.195; 25.955;    1 
201601030800; 42372.33333333;  6.684;  0.064;    296;  6.871;  6.684;    1; 26.035;  0.054;    296; 26.116; 25.916;    1 
