NIOZ jetty LON=4.789E   LAT=53.002N , depth of sensors -1.5 meter NAP.
Intervals of 60 minutes 
TM = YYYYMMDDHHmm (YYYY=year, MM=month, DD=day, HH=hour, mm=minute) in UTC
ET = excel decimal time 
T = median value of temperature from centered intervals (e.g. value at 10:00 is median from 9:30-10:30)
T_std = standard deviation of temperature within the interval 
T_N = number of data points for temperature within the interval 
T_max = maximum temperature within the interval 
T_min = minimum temperature within the interval 
T_flag = quality flag 
S = median value of salinity from centered intervals (e.g. value at 10:00 is median from 9:30-10:30)
S_std = standard deviation of salinity within the interval 
S_N = number of data points for salinity within the interval 
S_max = maximum salinity within the interval 
S_min = minimum salinity within the interval 
S_flag = quality flag 
Temperature in [degrees Celsius], Salinity in [PSU] 
Quality flags:  -1=No flag available, 1=OK, 2=corrected values (OK), 3=manual discard, 4=variability discard, 5=outlier discard, 8=cleaning period, 9=missing (value indicates ranking) 

TM;ET;T;T_std;T_N;T_max;T_min;T_flag;S;S_std;S_N;S_max;S_min;S_flag 
202001010100; 43831.04166667;  6.384;  0.161;      6;  6.502;  6.159;    1; 26.651;  0.475;      6; 27.181; 25.921;    1 
202001010200; 43831.08333333;  5.973;  0.152;      6;  6.156;  5.827;    1; 25.916;  0.608;      6; 26.631; 25.041;    1 
202001010300; 43831.12500000;  5.707;  0.064;      5;  5.818;  5.676;    1; 25.911;  0.258;      5; 26.041; 25.391;    1 
202001010400; 43831.16666667;  5.622;  0.031;      6;  5.654;  5.575;    1; 24.536;  0.615;      6; 25.891; 24.161;    1 
202001010500; 43831.20833333;  5.547;  0.050;      6;  5.563;  5.445;    1; 24.416;  0.239;      6; 24.951; 24.311;    1 
202001010600; 43831.25000000;  5.317;  0.061;      5;  5.429;  5.266;    1; 24.111;  0.431;      5; 24.371; 23.291;    1 
202001010700; 43831.29166667;  5.373;  0.042;      6;  5.402;  5.300;    1; 24.106;  1.379;      6; 24.891; 21.231;    1 
202001010800; 43831.33333333;  5.408;  0.006;      6;  5.418;  5.403;    1; 23.206;  1.103;      6; 23.851; 20.851;    1 
202001010900; 43831.37500000;  5.721;  0.123;      6;  5.730;  5.417;    1; 25.551;  0.806;      6; 25.691; 23.601;    1 
202001011000; 43831.41666667;  5.818;  0.065;      5;  5.945;  5.783;    1; 26.001;  0.200;      5; 26.251; 25.781;    1 
202001011100; 43831.45833333;  6.138;  0.200;      6;  6.200;  5.753;    1; 27.006;  0.514;      6; 27.361; 26.201;    1 
202001011200; 43831.50000000;  6.192;  0.079;      6;  6.270;  6.031;    1; 25.816;  2.108;      6; 26.811; 22.311;    1 
202001011300; 43831.54166667;  6.093;  0.078;      6;  6.189;  6.004;    1; 24.366;  0.856;      6; 25.951; 23.461;    1 
202001011400; 43831.58333333;  5.930;  0.109;      5;  5.974;  5.744;    1; 25.641;  0.987;      5; 26.381; 23.741;    1 
202001011500; 43831.62500000;  5.463;  0.126;      6;  5.703;  5.386;    1; 23.581;  2.288;      6; 24.651; 18.491;    1 
202001011600; 43831.66666667;  5.349;  0.039;      6;  5.399;  5.296;    1; 21.411;  0.357;      6; 21.961; 20.881;    1 
