NIOZ jetty LON=4.789E   LAT=53.002N , depth of sensors -1.5 meter NAP.
Intervals of 60 minutes 
TM = YYYYMMDDHHmm (YYYY=year, MM=month, DD=day, HH=hour, mm=minute) in UTC
ET = excel decimal time 
T = median value of temperature from centered intervals (e.g. value at 10:00 is median from 9:30-10:30)
T_std = standard deviation of temperature within the interval 
T_N = number of data points for temperature within the interval 
T_max = maximum temperature within the interval 
T_min = minimum temperature within the interval 
T_flag = quality flag 
S = median value of salinity from centered intervals (e.g. value at 10:00 is median from 9:30-10:30)
S_std = standard deviation of salinity within the interval 
S_N = number of data points for salinity within the interval 
S_max = maximum salinity within the interval 
S_min = minimum salinity within the interval 
S_flag = quality flag 
Quality flags:  -1=No flag available, 1=OK, 1-2 : includes corrected data, 4-5 : includes missing data, fraction indicates how much missing or corrected data was incorporated (low end: none, high end: all), 9=missing 
Temperature in [degrees Celsius], Salinity in [PSU] 

TM 	ET 	T 	T_std 	T_N 	T_max 	T_min 	T_flag 	S 	S_std 	S_N 	S_max 	S_min 	S_flag 	
202201010100 	 44562.04166667 	  6.562 	  0.105 	      6 	  6.677 	  6.438 	  1.000  	 28.145 	  0.288 	      6 	 28.435 	 27.795 	  1.000  
202201010200 	 44562.08333333 	  6.676 	  0.059 	      6 	  6.805 	  6.646 	  1.000  	 28.465 	  0.224 	      6 	 29.005 	 28.415 	  1.000  
202201010300 	 44562.12500000 	  6.982 	  0.050 	      6 	  7.031 	  6.906 	  1.000  	 29.395 	  0.121 	      6 	 29.505 	 29.225 	  1.000  
202201010400 	 44562.16666667 	  7.008 	  0.073 	      6 	  7.183 	  6.991 	  1.000  	 29.385 	  0.208 	      6 	 29.875 	 29.335 	  1.000  
202201010500 	 44562.20833333 	  7.141 	  0.093 	      6 	  7.244 	  7.024 	  1.000  	 29.670 	  0.305 	      6 	 30.065 	 29.315 	  1.000  
202201010600 	 44562.25000000 	  7.319 	  0.113 	      6 	  7.398 	  7.085 	  1.000  	 30.130 	  0.274 	      6 	 30.275 	 29.555 	  1.000  
202201010700 	 44562.29166667 	  7.431 	  0.030 	      6 	  7.468 	  7.394 	  1.000  	 30.325 	  0.048 	      6 	 30.375 	 30.255 	  1.000  
202201010800 	 44562.33333333 	  7.433 	  0.029 	      6 	  7.450 	  7.375 	  1.000  	 30.280 	  0.099 	      6 	 30.345 	 30.085 	  1.000  
202201010900 	 44562.37500000 	  7.329 	  0.036 	      6 	  7.372 	  7.275 	  1.000  	 29.545 	  0.286 	      6 	 29.985 	 29.295 	  1.000  
202201011000 	 44562.41666667 	  7.162 	  0.038 	      6 	  7.244 	  7.134 	  1.000  	 28.820 	  0.235 	      6 	 29.375 	 28.755 	  1.000  
202201011100 	 44562.45833333 	  7.140 	  0.099 	      6 	  7.207 	  6.978 	  1.000  	 28.810 	  0.164 	      6 	 28.915 	 28.485 	  1.000  
202201011200 	 44562.50000000 	  7.079 	  0.100 	      6 	  7.291 	  7.003 	  1.000  	 28.465 	  0.166 	      6 	 28.745 	 28.285 	  1.000  
202201011300 	 44562.54166667 	  6.681 	  0.143 	      6 	  6.920 	  6.511 	  1.000  	 27.535 	  0.341 	      6 	 28.185 	 27.225 	  1.000  
202201011400 	 44562.58333333 	  6.626 	  0.041 	      6 	  6.678 	  6.564 	  1.000  	 27.590 	  0.162 	      6 	 27.745 	 27.305 	  1.000  
202201011500 	 44562.62500000 	  6.720 	  0.093 	      6 	  6.917 	  6.661 	  1.000  	 27.655 	  0.230 	      6 	 28.195 	 27.595 	  1.000  
202201011600 	 44562.66666667 	  6.922 	  0.066 	      6 	  7.082 	  6.912 	  1.000  	 27.995 	  0.173 	      6 	 28.405 	 27.955 	  1.000  
202201011700 	 44562.70833333 	  7.049 	  0.020 	      6 	  7.062 	  7.009 	  1.000  	 28.320 	  0.107 	      6 	 28.435 	 28.185 	  1.000  
202201011800 	 44562.75000000 	  7.101 	  0.014 	      6 	  7.117 	  7.086 	  1.000  	 28.570 	  0.099 	      6 	 28.755 	 28.505 	  1.000  
202201011900 	 44562.79166667 	  7.162 	  0.025 	      6 	  7.187 	  7.113 	  1.000  	 28.745 	  0.061 	      6 	 28.845 	 28.685 	  1.000  
202201012000 	 44562.83333333 	  7.292 	  0.074 	      6 	  7.354 	  7.177 	  1.000  	 29.450 	  0.371 	      6 	 29.575 	 28.795 	  1.000  
202201012100 	 44562.87500000 	  7.377 	  0.004 	      6 	  7.378 	  7.369 	  1.000  	 29.675 	  0.060 	      6 	 29.735 	 29.595 	  1.000  
202201012200 	 44562.91666667 	  7.486 	  0.057 	      6 	  7.515 	  7.363 	  1.000  	 28.590 	  0.415 	      6 	 29.395 	 28.335 	  1.000  
202201012300 	 44562.95833333 	  7.571 	  0.049 	      6 	  7.656 	  7.535 	  1.000  	 28.250 	  0.080 	      6 	 28.345 	 28.125 	  1.000  
202201020000 	 44563.00000000 	  7.739 	  0.295 	      6 	  7.758 	  7.022 	  1.000  	 28.050 	  0.146 	      6 	 28.255 	 27.825 	  1.000  
202201020100 	 44563.04166667 	  6.873 	  0.083 	      6 	  6.905 	  6.728 	  1.000  	 27.490 	  0.212 	      6 	 27.605 	 27.085 	  1.000  
202201020200 	 44563.08333333 	  6.668 	  0.047 	      6 	  6.721 	  6.604 	  1.000  	 27.180 	  0.176 	      6 	 27.315 	 26.935 	  1.000  
202201020300 	 44563.12500000 	  6.731 	  0.117 	      6 	  6.987 	  6.686 	  1.000  	 27.340 	  0.487 	      6 	 28.455 	 27.305 	  1.000  
202201020400 	 44563.16666667 	  7.023 	  0.012 	      6 	  7.029 	  6.996 	  1.000  	 28.525 	  0.032 	      6 	 28.595 	 28.505 	  1.000  
202201020500 	 44563.20833333 	  7.280 	  0.109 	      6 	  7.325 	  7.039 	  1.000  	 29.425 	  0.297 	      6 	 29.495 	 28.725 	  1.000  
202201020600 	 44563.25000000 	  7.431 	  0.065 	      6 	  7.512 	  7.354 	  1.000  	 29.755 	  0.151 	      6 	 29.915 	 29.565 	  1.000  
202201020700 	 44563.29166667 	  7.540 	  0.068 	      6 	  7.669 	  7.509 	  1.000  	 30.020 	  0.185 	      6 	 30.325 	 29.895 	  1.000  
202201020800 	 44563.33333333 	  7.642 	  0.025 	      6 	  7.682 	  7.607 	  1.000  	 30.185 	  0.083 	      6 	 30.315 	 30.085 	  1.000  
202201020900 	 44563.37500000 	  7.680 	  0.027 	      6 	  7.699 	  7.625 	  1.000  	 30.260 	  0.129 	      6 	 30.355 	 29.985 	  1.000  
202201021000 	 44563.41666667 	  7.601 	  0.025 	      6 	  7.641 	  7.569 	  1.000  	 29.500 	  0.267 	      6 	 29.715 	 29.035 	  1.000  
202201021100 	 44563.45833333 	  7.579 	  0.024 	      6 	  7.602 	  7.529 	  1.000  	 28.840 	  0.146 	      6 	 29.015 	 28.625 	  1.000  
202201021200 	 44563.50000000 	  7.691 	  0.043 	      6 	  7.730 	  7.607 	  1.000  	 28.985 	  0.161 	      6 	 29.215 	 28.775 	  1.000  
202201021300 	 44563.54166667 	  7.730 	  0.046 	      6 	  7.751 	  7.626 	  1.000  	 29.180 	  0.121 	      6 	 29.355 	 29.055 	  1.000  
202201021400 	 44563.58333333 	  7.476 	  0.048 	      6 	  7.550 	  7.418 	  1.000  	 29.350 	  0.058 	      6 	 29.435 	 29.265 	  1.000  
202201021500 	 44563.62500000 	  7.546 	  0.024 	      6 	  7.598 	  7.535 	  1.000  	 29.570 	  0.121 	      6 	 29.855 	 29.535 	  1.000  
202201021600 	 44563.66666667 	  7.649 	  0.007 	      6 	  7.662 	  7.641 	  1.000  	 29.885 	  0.055 	      6 	 29.935 	 29.795 	  1.000  
202201021700 	 44563.70833333 	  7.644 	  0.005 	      6 	  7.648 	  7.636 	  1.000  	 29.800 	  0.062 	      6 	 29.885 	 29.715 	  1.000  
202201021800 	 44563.75000000 	  7.675 	  0.013 	      6 	  7.682 	  7.651 	  1.000  	 29.875 	  0.039 	      6 	 29.885 	 29.785 	  1.000  
202201021900 	 44563.79166667 	  7.686 	  0.015 	      6 	  7.709 	  7.676 	  1.000  	 29.935 	  0.096 	      6 	 30.085 	 29.855 	  1.000  
202201022000 	 44563.83333333 	  7.732 	  0.008 	      6 	  7.742 	  7.718 	  1.000  	 30.165 	  0.035 	      6 	 30.205 	 30.105 	  1.000  
202201022100 	 44563.87500000 	  7.746 	  0.004 	      6 	  7.754 	  7.743 	  1.000  	 30.350 	  0.050 	      6 	 30.395 	 30.255 	  1.000  
202201022200 	 44563.91666667 	  7.732 	  0.008 	      6 	  7.747 	  7.726 	  1.000  	 30.310 	  0.026 	      6 	 30.355 	 30.275 	  1.000  
202201022300 	 44563.95833333 	  7.713 	  0.006 	      6 	  7.717 	  7.701 	  1.000  	 29.940 	  0.248 	      6 	 30.205 	 29.585 	  1.000  
202201030000 	 44564.00000000 	  7.703 	  0.012 	      6 	  7.708 	  7.680 	  1.000  	 29.205 	  0.129 	      6 	 29.495 	 29.165 	  1.000  
202201030100 	 44564.04166667 	  7.645 	  0.021 	      6 	  7.675 	  7.620 	  1.000  	 29.080 	  0.183 	      6 	 29.455 	 28.965 	  1.000  
202201030200 	 44564.08333333 	  7.357 	  0.110 	      6 	  7.525 	  7.257 	  1.000  	 29.010 	  0.259 	      6 	 29.365 	 28.775 	  1.000  
202201030300 	 44564.12500000 	  7.357 	  0.030 	      6 	  7.364 	  7.291 	  1.000  	 29.150 	  0.120 	      6 	 29.195 	 28.895 	  1.000  
202201030400 	 44564.16666667 	  7.558 	  0.080 	      6 	  7.578 	  7.366 	  1.000  	 29.815 	  0.257 	      6 	 29.905 	 29.215 	  1.000  
202201030500 	 44564.20833333 	  7.530 	  0.023 	      6 	  7.552 	  7.498 	  1.000  	 29.735 	  0.078 	      6 	 29.815 	 29.645 	  1.000  
202201030600 	 44564.25000000 	  7.581 	  0.009 	      6 	  7.588 	  7.565 	  1.000  	 29.950 	  0.050 	      6 	 29.995 	 29.875 	  1.000  
202201030700 	 44564.29166667 	  7.576 	  0.004 	      6 	  7.582 	  7.570 	  1.000  	 29.895 	  0.032 	      6 	 29.945 	 29.875 	  1.000  
