# NIOZ jetty LON=4.789E   LAT=53.002N , depth of sensors -1.5 meter NAP.
# Intervals of 60 minutes 
# TM = yyyy-mm-dd HH:MM (in UTC)
# ET = excel decimal time 
# T = median value of temperature from centered intervals (e.g. value at 10:00 is median from 9:30-10:30)
# T_std = standard deviation of temperature within the interval 
# T_N = number of data points for temperature within the interval 
# T_max = maximum temperature within the interval 
# T_min = minimum temperature within the interval 
# T_flag = quality flag 
# S = median value of salinity from centered intervals (e.g. value at 10:00 is median from 9:30-10:30)
# S_std = standard deviation of salinity within the interval 
# S_N = number of data points for salinity within the interval 
# S_max = maximum salinity within the interval 
# S_min = minimum salinity within the interval 
# S_flag = quality flag 
# Quality flags:  -1=No flag available, 1=OK, 1-2 : includes corrected data, 4-5 : includes missing data, fraction indicates how much missing or corrected data was incorporated (low end: none, high end: all), 9=missing 
# Temperature in [degrees Celsius], Salinity in [PSU] 
# 
TM 	ET 	T 	T_std 	T_N 	T_max 	T_min 	T_flag 	S 	S_std 	S_N 	S_max 	S_min 	S_flag 	
2023-01-01 01:00:00 	 44927.04166667 	  7.752 	  0.018 	      6 	  7.763 	  7.712 	  1.000  	 29.906 	  0.008 	      6 	 29.921 	 29.901 	  1.000  
2023-01-01 02:00:00 	 44927.08333333 	  7.804 	  0.037 	      6 	  7.814 	  7.717 	  1.000  	 30.336 	  0.130 	      6 	 30.361 	 30.021 	  1.000  
2023-01-01 03:00:00 	 44927.12500000 	  7.819 	  0.008 	      6 	  7.829 	  7.812 	  1.000  	 30.221 	  0.024 	      6 	 30.261 	 30.191 	  1.000  
2023-01-01 04:00:00 	 44927.16666667 	  7.816 	  0.018 	      6 	  7.843 	  7.800 	  1.000  	 30.206 	  0.032 	      6 	 30.231 	 30.141 	  1.000  
2023-01-01 05:00:00 	 44927.20833333 	  7.834 	  0.024 	      6 	  7.864 	  7.802 	  1.000  	 30.176 	  0.031 	      6 	 30.221 	 30.141 	  1.000  
2023-01-01 06:00:00 	 44927.25000000 	  8.125 	  0.112 	      6 	  8.190 	  7.923 	  1.000  	 29.836 	  0.081 	      6 	 30.001 	 29.791 	  1.000  
2023-01-01 07:00:00 	 44927.29166667 	  8.196 	  0.018 	      6 	  8.211 	  8.166 	  1.000  	 29.796 	  0.031 	      6 	 29.811 	 29.741 	  1.000  
2023-01-01 08:00:00 	 44927.33333333 	  8.144 	  0.090 	      6 	  8.219 	  7.995 	  1.000  	 29.771 	  0.047 	      6 	 29.851 	 29.731 	  1.000  
2023-01-01 09:00:00 	 44927.37500000 	  7.752 	  0.098 	      6 	  7.918 	  7.700 	  1.000  	 29.901 	  0.015 	      6 	 29.911 	 29.871 	  1.000  
2023-01-01 10:00:00 	 44927.41666667 	  7.711 	  0.027 	      6 	  7.756 	  7.690 	  1.000  	 29.936 	  0.031 	      6 	 29.981 	 29.911 	  1.000  
2023-01-01 11:00:00 	 44927.45833333 	  7.802 	  0.025 	      6 	  7.840 	  7.774 	  1.000  	 29.991 	  0.016 	      6 	 29.991 	 29.951 	  1.000  
